"","code","Atrisk","Une","Chronic","Density","Circulatory","Educational","GDP","Personnel","Beds","Influenza","Lifeexp","Longterm","Malignant","Pneumonia","Respiratory","Over.75","Obesity","Over.60","Males","Diabetes","Pop","Over75rate","Over60rate","Malesrate","PM","deaths","rate","lon","lat","cluster"
"60","ES61",32,21.2,29.49,97.4,272.41,24.2,20900,344.5900606,219.2015217,1.52,82.1,6.241541732,42.66,19.67,93.36,682025,21,1933673,4160232,20.48,8427405,8.092942015,22.94505841,49.36551643,6.417875723,10978,1302.65485045515,-4.5757648,37.46301903,3
"61","ES62",28.6,14.7,32.72,132.4,229.4,23.5,23200,446.337645,315.1251325,1.43,83,14.65385642,39.38,21.79,103.67,112904,16.1,311992,744145,21.55,1487663,7.589353234,20.971954,50.02107332,7.40526958,1727,1160.88119419519,-1.48542102,38.00164722,3
"62","FR10",15.4,8.1,11.04,1026.8,129.24,24.9,54800,389.275225,546.1253901,1.16,84.5,4.516200215,36.62,12.9,39.94,837686,14.4,2463374,5911297,13.29,12244807,6.841153152,20.11770377,48.27595078,12.65396288,21509,1756.58138180536,2.5038981,48.70926402,11
"63","FRB0",13.1,8.2,15.81,65.4,250.99,21.1,25700,263.6381994,618.8071531,1.56,82.8,38.74853913,51.75,19.55,61.72,274840,16.9,746946,1245834,18.1,2565258,10.71393209,29.11777295,48.56564135,10.12913822,2862,1115.67725351602,1.6842791,47.48454695,7
"64","FRC1",13.6,7.5,18.61,51.3,271.7,20.5,25300,294.1234578,695.7958373,2.18,82.3,53.83619966,57.62,21.85,69.62,188865,14.9,510714,786026,21.82,1619728,11.66029111,31.53084962,48.52827141,10.27678344,3046,1880.56266237294,4.14911321,47.24750243,7
"65","FRC2",13.6,8.1,16.56,72.6,234.99,22.3,23700,306.4915368,585.2906216,1.41,82.5,76.00512949,52.37,21.11,62.06,116836,15.4,326100,577364,16.58,1173605,9.955308643,27.78618019,49.19576859,10.69040431,1938,1651.3222080683,6.08786423,47.20811415,7
"66","FRD1",13.7,8.3,18.04,82.6,271.22,21.6,25000,303.9945374,617.3438033,1.08,82.4,81.11983612,52.76,20.89,70.65,164753,15.6,450003,710237,14.02,1464500,11.24977808,30.7274155,48.49689314,8.568473087,1402,957.32331853875,-0.52233355,48.9295941,7
"67","FRD2",13.6,9.8,14.17,151.2,227.09,22.9,27000,275.0914087,568.8972545,1.17,81.7,67.23134506,54.95,16.74,55.14,165104,19.6,484749,894823,16.72,1848840,8.93013998,26.21908873,48.39915839,10.72381415,2141,1158.02340927284,1.01361918,49.39187038,7
"68","FRE1",19.7,11.2,17.99,327.4,216.41,25,25500,321.4965135,601.7818527,1.06,80.6,36.81860593,49.36,19.82,67.33,313580,21.3,963956,1965556,20.34,4052299,7.738323357,23.78787942,48.504713,12.67394947,6067,1497.17481360581,2.715134,50.47188944,7
"69","FRE2",16.2,9,18.2,99.4,213.55,22.6,22800,261.1760819,595.1261676,0.97,81.2,39.94518834,52.2,23.24,68.12,160515,20,486400,939657,23.01,1925138,8.337843832,25.26572121,48.80985155,12.4509346,3567,1852.85418499869,2.80820619,49.64221923,7
"70","FRF1",12.6,7.2,18.3,230.6,210.42,22.3,29400,366.3396236,593.8830416,1.65,82.7,51.89679349,48.46,19.09,57.15,169713,18.6,484461,928088,19.28,1894144,8.959878446,25.57677769,48.99775307,11.95701532,3438,1815.06791458305,7.4352473,48.33004237,11
"71","FRF2",16.3,9.1,19.83,51.5,237.98,22.1,26100,287.232198,588.4571745,1.15,81.6,69.88784484,57.93,21.15,67.37,127094,20.9,364629,640238,25.05,1314964,9.665207565,27.72920019,48.6886333,11.45045136,2162,1644.15147486927,4.54115547,48.73646901,11
"72","FRF3",14.8,8.1,23.13,98.6,231.07,21.5,22900,305.5458053,637.7734402,2.02,82,39.24560365,62.27,23.97,76.3,221388,17,634859,1133628,21.41,2316183,9.558312102,27.40970813,48.94380107,10.88810115,5036,2174.26688651113,6.14161888,48.76213464,11
